rank,name_ru,name_en,url,score,votes,scraped_at
39,Том и Джерри,Tom and Jerry,https://www.kinopoisk.ru/series/1372775/,8.9,22325,2026-05-28T07:03:31-07:00
40,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,311572,2026-05-28T07:03:31-07:00
41,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,798755,2026-05-28T07:03:31-07:00
42,Чернобыль,Chernobyl,https://www.kinopoisk.ru/series/1227803/,8.8,804899,2026-05-28T07:03:31-07:00
43,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,410941,2026-05-28T07:03:31-07:00
44,Хороших девочек не убивают,A Good Girl's Guide to Murder,https://www.kinopoisk.ru/series/5401798/,6.7,12009,2026-05-28T07:03:31-07:00
45,Закулисье,The Backrooms,https://www.kinopoisk.ru/series/5129650/,7.6,3431,2026-05-28T07:03:31-07:00
46,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,536502,2026-05-28T07:03:31-07:00
47,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,355316,2026-05-28T07:03:31-07:00
48,Бесстыжие,Shameless,https://www.kinopoisk.ru/series/571335/,8.6,675840,2026-05-28T07:03:31-07:00
49,Пугало,Heosuabi,https://www.kinopoisk.ru/series/11734660/,8.6,2543,2026-05-28T07:03:31-07:00
50,Поколение «Ви»,Gen V,https://www.kinopoisk.ru/series/1431133/,7.2,46389,2026-05-28T07:03:31-07:00
