rank,name_ru,name_en,url,score,votes,scraped_at
23,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,185252,2026-05-29T00:03:03-07:00
24,Похищенная,The Stolen Girl,https://www.kinopoisk.ru/series/7519840/,6.6,10948,2026-05-29T00:03:03-07:00
25,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,700914,2026-05-29T00:03:03-07:00
26,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,632648,2026-05-29T00:03:03-07:00
27,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,948769,2026-05-29T00:03:03-07:00
28,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,163818,2026-05-29T00:03:03-07:00
29,Каштановый человечек,Kastanjemanden,https://www.kinopoisk.ru/series/1434190/,7.5,69013,2026-05-29T00:03:03-07:00
30,Закулисье,The Backrooms,https://www.kinopoisk.ru/series/5129650/,7.6,3452,2026-05-29T00:03:03-07:00
31,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,555672,2026-05-29T00:03:03-07:00
32,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,635526,2026-05-29T00:03:03-07:00
33,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,275738,2026-05-29T00:03:03-07:00
34,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.7,2375,2026-05-29T00:03:03-07:00
35,Заветы,The Testaments,https://www.kinopoisk.ru/series/5116191/,8.0,5000,2026-05-29T00:03:03-07:00
36,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,,0,2026-05-29T00:03:03-07:00
37,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,105587,2026-05-29T00:03:03-07:00
38,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,51909,2026-05-29T00:03:03-07:00
39,Том и Джерри,Tom and Jerry,https://www.kinopoisk.ru/series/1372775/,8.9,22343,2026-05-29T00:03:03-07:00
40,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,798883,2026-05-29T00:03:03-07:00
41,Хороших девочек не убивают,A Good Girl's Guide to Murder,https://www.kinopoisk.ru/series/5401798/,6.7,12063,2026-05-29T00:03:03-07:00
42,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,126737,2026-05-29T00:03:03-07:00
43,У Марго проблемы с деньгами,Margo's Got Money Troubles,https://www.kinopoisk.ru/series/6458212/,7.0,6095,2026-05-29T00:03:03-07:00
44,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,311771,2026-05-29T00:03:03-07:00
45,Бесстыжие,Shameless,https://www.kinopoisk.ru/series/571335/,8.6,675931,2026-05-29T00:03:03-07:00
46,Дорохедоро,Dorohedoro,https://www.kinopoisk.ru/series/1311143/,8.2,25297,2026-05-29T00:03:03-07:00
47,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,225006,2026-05-29T00:03:03-07:00
48,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,536833,2026-05-29T00:03:03-07:00
49,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,355414,2026-05-29T00:03:03-07:00
50,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,411045,2026-05-29T00:03:03-07:00
